systemNumber,accessionNumber,objectType,_currentLocation,_primaryTitle,_primaryMaker,_primaryImageId,_primaryDate,_primaryPlace,_warningTypes,_images
O198271,E.738-1955,Poster,"{'id': 'THES49171', 'displayName': 'Prints & Drawings Study Room, level C', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'MB2F', 'shelf': 'DR111', 'box': ''}}","Modern Paintings, Dresses and New Omega Pottery ","{'name': 'Fry, Roger Eliot', 'association': 'artist'}",2006BF6419,1918,London,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2006BF6419/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2006BF6419/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O198271/manifest.json', 'imageResolution': 'high'}"
O704913,E.1173-1921,Poster,"{'id': 'THES49171', 'displayName': 'Prints & Drawings Study Room, level C', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'Y', 'shelf': '72', 'box': 'B'}}",,{},,,,[],{}
O19169,C.233-1987,Jug,"{'id': 'THES49868', 'displayName': 'Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery', 'type': 'Display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': '20', 'shelf': '', 'box': ''}}",Big White Jug,"{'name': 'Britton, Alison', 'association': 'maker'}",2008BR5235,1987,,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BR5235/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BR5235/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O124421,W.452A-1922,Pair of armchairs,"{'id': 'THES50153', 'displayName': 'In store', 'type': 'storage', 'site': 'BH', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'Unknown', 'association': 'maker'}",2018KX3743,c.1775,Great Britain,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2018KX3743/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2018KX3743/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O124421/manifest.json', 'imageResolution': 'high'}"
O191125,E.2179-1990,Poster,"{'id': 'THES49171', 'displayName': 'Prints & Drawings Study Room, level C', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'Y', 'shelf': '78', 'box': 'E'}}",FIDESZ [Alliance of Young Democrats]- Szilárd Sasvári,"{'name': 'Unknown', 'association': ''}",2009CA2058,1990,Hungary,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2009CA2058/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2009CA2058/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O80868,20603:6,Print,"{'id': 'THES49247', 'displayName': 'British Galleries, Room 54', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'WE', 'shelf': '', 'box': '25'}}",The Designs of Inigo Jones and others,"{'name': 'Ware, Isaac', 'association': 'draughtsman'}",2006AM3126,1743,London,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2006AM3126/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2006AM3126/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O80868/manifest.json', 'imageResolution': 'high'}"
O479802,IS.501-1950,Dish,"{'id': 'THES373819', 'displayName': 'in store', 'type': 'storage', 'site': 'CB001 (ES/2/C/MB063)', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,{},2019ME5934,,,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2019ME5934/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2019ME5934/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O479802/manifest.json', 'imageResolution': 'high'}"
O449042,A.75-1922,Fragment of wall decoration,"{'id': 'THES367606', 'displayName': 'in store', 'type': 'storage', 'site': 'CB004 (ES/2/C/MB038)', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'unknown', 'association': 'makers'}",2014GY2524,836-900,Samarra,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2014GY2524/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2014GY2524/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O449042/manifest.json', 'imageResolution': 'high'}"
O297464,M.69 A to F-1984,Canopy,"{'id': 'THES49888', 'displayName': 'Architecture, Room 128', 'type': 'Display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': '5', 'shelf': 'WN', 'box': ''}}",,"{'name': 'Charles H. Driver FRIBA', 'association': 'designer'}",2022ND1901,1867,Glasgow,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2022ND1901/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2022ND1901/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O297464/manifest.json', 'imageResolution': 'high'}"
O129655,W.15-1914,Armchair,"{'id': 'THES342167', 'displayName': 'in store', 'type': 'storage', 'site': 'BY002 (ES/M/A/SR005)', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'Unknown', 'association': ''}",2012FF0496,1740-70,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2012FF0496/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2012FF0496/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O129655/manifest.json', 'imageResolution': 'high'}"
O193056,E.2379-1991,Poster,"{'id': 'THES49171', 'displayName': 'Prints & Drawings Study Room, level C', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'Y', 'shelf': '76', 'box': 'E'}}",Vote National Peasants' Party - Christian and Democrat. Vote for the Future of the Country.,"{'name': 'Unknown', 'association': ''}",2009CA2209,1990,Romania,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2009CA2209/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2009CA2209/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O321060,W.12-1964,Panelling,"{'id': 'THES384089', 'displayName': 'in store', 'type': 'storage', 'site': 'B (CW/4)', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'Unknown', 'association': ''}",2016HY7862,1730-1740,France,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2016HY7862/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2016HY7862/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O321060/manifest.json', 'imageResolution': 'high'}"
O321056,W.26-1964,Panelling,"{'id': 'THES263060', 'displayName': 'Europe 1600-1815, Room 3', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'WE', 'shelf': '', 'box': ''}}",,"{'name': 'Unknown', 'association': ''}",2016HY7863,1730-1740,France,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2016HY7863/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2016HY7863/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O321056/manifest.json', 'imageResolution': 'high'}"
O222226,E.419-1997,Drawing,"{'id': 'THES49171', 'displayName': 'Prints & Drawings Study Room, level C', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'T', 'shelf': '144', 'box': 'B'}}",,"{'name': 'Karin Heath Warming', 'association': 'maker'}",,,,[],{}
O372320,CIRC.309-1912,Shutter,"{'id': 'THES50153', 'displayName': 'In store', 'type': 'storage', 'site': 'BH', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,{},2016JK6904,1480-1520,,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2016JK6904/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2016JK6904/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O372320/manifest.json', 'imageResolution': 'high'}"
O222224,E.417-1997,Drawing,"{'id': 'THES49171', 'displayName': 'Prints & Drawings Study Room, level C', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'T', 'shelf': '144', 'box': 'A'}}",,"{'name': 'Karin Heath Warming', 'association': 'maker'}",,,,[],{}
O70591,A.129-1946,Panel,"{'id': 'THES333279', 'displayName': 'in store', 'type': 'storage', 'site': 'CB026 (ES/1/D)', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",St Peter,"{'name': 'Unknown', 'association': ''}",2006AH0753,15th century,England,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2006AH0753/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2006AH0753/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O70591/manifest.json', 'imageResolution': 'high'}"
O70842,260-1898,Altarpiece,"{'id': 'THES49918', 'displayName': 'Sculpture, Room 111, The Gilbert Bayes Gallery', 'type': 'Display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'CA1', 'shelf': '', 'box': ''}}",The Nativity,"{'name': 'Unknown', 'association': ''}",2006AN0800,ca. 1500,Bressanone,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2006AN0800/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2006AN0800/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O70842/manifest.json', 'imageResolution': 'high'}"
