systemNumber,accessionNumber,objectType,_currentLocation,_primaryTitle,_primaryMaker,_primaryImageId,_primaryDate,_primaryPlace,_warningTypes,_images
O177356,E.271-1989,Record,"{'id': 'THES49171', 'displayName': 'Prints & Drawings Study Room, level C', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'TS', 'shelf': '14', 'box': ''}}",Chapter 12,"{'name': 'Modern English', 'association': 'band'}",,1984,Great Britain,[],{}
O136104,9119-1863,Painting,"{'id': 'THES49494', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",Modern copy of a pompeian wall painting,"{'name': 'unknown', 'association': ''}",2007BP0802,first half 19th century,,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2007BP0802/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2007BP0802/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O136104/manifest.json', 'imageResolution': 'high'}"
O11830,IS.102-1999,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",Dancing Lady,"{'name': 'Roy, Jamini', 'association': 'artist'}",2013GT2592,ca. 1945,Kolkata,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GT2592/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GT2592/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O131897,P.21-1975,Oil painting,"{'id': 'THES304516', 'displayName': 'in store', 'type': 'storage', 'site': 'PO326 (ES/0/G)', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",Sign Board for the Shop 'Modern Textiles',"{'name': 'Nash, Paul', 'association': 'painter (artist)'}",2006BD5634,1926,,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2006BD5634/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2006BD5634/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O116965,323-1895,Painting,"{'id': 'THES49780', 'displayName': 'Medieval & Renaissance, Room 50b, The Paul and Jill Ruddock Gallery', 'type': 'Display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'CEILING', 'shelf': '', 'box': ''}}",Painted Crucifix,"{'name': 'Antonio de Saliba', 'association': 'artist'}",2009CR8218,1490-1500,Sicily,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2009CR8218/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2009CR8218/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O116965/manifest.json', 'imageResolution': 'high'}"
O209682,IS.196-1984,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}"," 'The first Bengali Governor, where is H.E.?'","{'name': 'Tagore, Gaganendranath', 'association': 'Artist'}",2013GK1341,1920s,Kolkata,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GK1341/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GK1341/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O209682/manifest.json', 'imageResolution': 'high'}"
O1655684,FE.99-2021,painting,"{'id': 'THES49632', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,{},2021NB2928,,,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2021NB2928/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2021NB2928/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O82545,IS.47-1979,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'Roy, Jamini', 'association': 'artist'}",2013GK1405,ca. 1940 - ca. 1944,Kolkata,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GK1405/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GK1405/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O128398,S.501-2006,Painting,"{'id': 'THES276098', 'displayName': 'In Store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",The Downfall of Shakespeare Represented on a Modern Stage,"{'name': 'Dawes, William', 'association': 'artist'}",2022NE8501,1763-65,Great Britain,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2022NE8501/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2022NE8501/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O128398/manifest.json', 'imageResolution': 'high'}"
O164652,IS.202-1959,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",Krishna,"{'name': 'Jamini, Roy', 'association': 'artist'}",2006AY0086,ca. 1930,Bengal,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2006AY0086/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2006AY0086/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O164652/manifest.json', 'imageResolution': 'high'}"
O82556,IS.50-1979,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",Krishna ,"{'name': 'Roy, Jamini', 'association': 'artist'}",2013GK1408,ca. 1940,Kolkata,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GK1408/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GK1408/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O82346,IS.125-1984,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'Tagore, Abanindranath', 'association': 'maker'}",2013GK1351,1924,Kārsiyāng,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GK1351/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GK1351/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O82552,IS.49-1979,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",Sita ,"{'name': 'Roy, Jamini', 'association': 'artist'}",2015HX7469,ca. 1940,Kolkata,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2015HX7469/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2015HX7469/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O82551,IS.48-1979,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}","Jatayu, Sita and Ravana","{'name': 'Roy, Jamini', 'association': 'artist'}",2013GK1375,ca. 1940 - ca. 1944,Kolkata,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GK1375/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GK1375/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O1663597,FE.100-2021,painting,"{'id': 'THES49632', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,{},2021NB2741,,,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2021NB2741/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2021NB2741/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O81872,IS.55-1979,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'Roy, Jamini', 'association': 'artist'}",2013GK1376,ca. 1935,Kolkata,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GK1376/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GK1376/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O184220,IS.128-1984,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'Tagore, Abanindranath', 'association': 'artist'}",2013GK1355,ca. 1924,India,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GK1355/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GK1355/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O134001,IS.93-1991,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",The Last Supper,"{'name': 'Jamini, Roy', 'association': 'maker'}",2007BN1936,ca. 1937- ca. 1940,Bengal,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2007BN1936/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2007BN1936/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O430443,IS.94-1991,Painting,"{'id': 'THES49619', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'Jehangir Sabavala', 'association': 'maker'}",2014HC2247,ca. 1940 - ca. 1950,India,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2014HC2247/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2014HC2247/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O82564,IM.255-1921,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",Siva-puja,"{'name': 'Tagore, Abanindranath', 'association': 'artist'}",2013GK1369,ca. 1900,Bengal,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GK1369/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GK1369/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O82564/manifest.json', 'imageResolution': 'high'}"
O82562,IS.305-1951,Painting,"{'id': 'THES49063', 'displayName': 'On short term loan out for exhibition', 'type': 'display', 'site': '', 'onDisplay': True, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",A Music party,"{'name': 'Tagore, Abanindranath', 'association': 'artist'}",2013GK1370,ca. 1905,Bengal,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GK1370/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GK1370/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O82562/manifest.json', 'imageResolution': 'high'}"
O82413,IS.197-1955,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'Tagore, Abanindranath', 'association': 'artist'}",2013GK1346,1920,Bengal,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GK1346/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GK1346/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O82413/manifest.json', 'imageResolution': 'high'}"
O82359,IS.123-1984,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'Tagore, Abanindranath', 'association': 'artist'}",2013GK1349,1920,India,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2013GK1349/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2013GK1349/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
O82561,IS.46-1979,Painting,"{'id': 'THES49620', 'displayName': 'In store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",,"{'name': 'Jamini, Roy', 'association': 'artist'}",2006AH4366,ca. 1942,Kolkata,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2006AH4366/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2006AH4366/', '_iiif_presentation_url': None, 'imageResolution': 'low'}"
